"","v2","v3","p3"
"Estimated.Number.of.Cells","996","1,222","713"
"Mean.Reads.per.Cell","77,230","54,502","63,617"
"Median.Genes.per.Cell","1,078","1,919","1,930"
"Number.of.Reads","76,921,082","66,601,887","45,359,427"
"Valid.Barcodes","96.6%","97.4%","97.1%"
"Sequencing.Saturation","90.1%","70.8%","73.3%"
"Q30.Bases.in.Barcode","94.0%","94.1%","95.0%"
"Q30.Bases.in.RNA.Read","88.3%","90.2%","90.3%"
"Q30.Bases.in.Sample.Index","90.1%","91.1%","90.8%"
"Q30.Bases.in.UMI","92.8%","92.7%","93.3%"
"Reads.Mapped.to.Genome","92.7%","95.4%","94.9%"
"Reads.Mapped.Confidently.to.Genome","90.1%","92.4%","91.6%"
"Reads.Mapped.Confidently.to.Intergenic.Regions","3.6%","4.8%","5.5%"
"Reads.Mapped.Confidently.to.Intronic.Regions","22.3%","31.1%","31.8%"
"Reads.Mapped.Confidently.to.Exonic.Regions","64.1%","56.5%","54.4%"
"Reads.Mapped.Confidently.to.Transcriptome","60.8%","53.7%","51.3%"
"Reads.Mapped.Antisense.to.Gene","1.0%","1.0%","1.1%"
"Fraction.Reads.in.Cells","96.1%","94.9%","87.6%"
"Total.Genes.Detected","16,063","18,391","17,467"
"Median.UMI.Counts.per.Cell","3,358","6,628","6,416"
